generic_name,atc_level_4_code,atc_level_4_name
Aa 4.25%/Calcium/Lytes/Dex 10%,V06DE,"Amino acids/carbohydrates/minerals/vitamins, combinations"
Aa 5 %/Calcium/Lytes/Dext 20 %,V06DE,"Amino acids/carbohydrates/minerals/vitamins, combinations"
Aa 5%/D15w/Electrolytes,V06DE,"Amino acids/carbohydrates/minerals/vitamins, combinations"
Abatacept/Maltose,L04AA,Selective immunosuppressants
Alendronate Sodium/Vitamin D3,M05BB,"Bisphosphonates, combinations"
Amino Ac 8 %/D14w/Electrolytes,V06DE,"Amino acids/carbohydrates/minerals/vitamins, combinations"
Amino Acid 8 % In D14w,V06DE,"Amino acids/carbohydrates/minerals/vitamins, combinations"
Amino Acids 4.25%/Dextrose 10%,V06DE,"Amino acids/carbohydrates/minerals/vitamins, combinations"
Amino Acids 5 %/Dextrose 15 %,V06DE,"Amino acids/carbohydrates/minerals/vitamins, combinations"
Amino Acids 5 %/Dextrose 20 %,V06DE,"Amino acids/carbohydrates/minerals/vitamins, combinations"
B Complex W-C No.20/Folic Acid,A11EX,"Vitamin B-complex, other combinations"
Betamethasone/Propylene Glyc,D07AC,"Corticosteroids, potent (group III)"
Bictegrav/Emtricit/Tenofov Ala,J05AR,"Antivirals for treatment of HIV infections, combinations"
Bismuth/Metronid/Tetracycline,A02BD,Combinations for eradication of Helicobacter pylori
"Bolus Insulin Pump, 200 Unit",A10AB,"Insulins and analogues for injection, fast-acting"
Brinzolamide/Brimonidine Tart,S01EC,Carbonic anhydrase inhibitors
Butalbit/Acetamin/Caff/Codeine,N02AJ,Opioids in combination with non-opioid analgesics
"C1 Esterase Inhibitor, Recomb",L04AJ,Complement inhibitors
Cabotegravir/Rilpivirine,J05AR,"Antivirals for treatment of HIV infections, combinations"
Capsaicin/Skin Cleanser,M02AB,Capsaicin and similar agents
"Cefazolin Sodium/Dextrose,iso",J01DB,First-generation cephalosporins
Cefepime In Iso-Osm Dextrose,J01DE,Fourth-generation cephalosporins
"Cefoxitin Sodium/Dextrose,iso",J01DC,Second-generation cephalosporins
